combined_key,ASIN,BRAND,MARKETPLACE,reg_slope,kmeans_label,hdbscan_label
H&S__IT__B017GLNHEG,B017GLNHEG,H&S,IT,-0.0739516483516484,7,8
Espring__ES__B098XCZZ3Q,B098XCZZ3Q,Espring,ES,0.0,2,9
H&S__US__B07GTF236R,B07GTF236R,H&S,US,-0.17971874316490088,4,0
Espring__DE__B0857JT2ZP,B0857JT2ZP,Espring,DE,0.0,0,5
Tritart__DE__B073WBT4V7,B073WBT4V7,Tritart,DE,-0.008048289738430582,6,2
H&S__ES__B01NATTRD3,B01NATTRD3,H&S,ES,1.2857142857142847,7,-1
H&S__UK__B07PPM6WDZ,B07PPM6WDZ,H&S,UK,-0.04955607691839994,0,5
H&S__IT__B00NBCCR0A,B00NBCCR0A,H&S,IT,-0.0311585110832288,1,-1
Tritart__IT__B08Q42K5PK,B08Q42K5PK,Tritart,IT,0.0,0,5
Espring__IT__B086T37ZV1,B086T37ZV1,Espring,IT,0.013348587630797019,3,3
H&S__UK__B07GZ818S1,B07GZ818S1,H&S,UK,-0.018814183619381676,3,-1
H&S__DE__B07TN75FC1,B07TN75FC1,H&S,DE,0.003226307525671919,5,-1
H&S__UK__B07JHNHW2K,B07JHNHW2K,H&S,UK,-0.004608298019888657,1,4
H&S__US__B07WTXZ2JC,B07WTXZ2JC,H&S,US,-0.020219520516129068,1,4
H&S__UK__B0739F745J,B0739F745J,H&S,UK,-0.024866908839816442,6,-1
Espring__IT__B0857K4ZDQ,B0857K4ZDQ,Espring,IT,-0.47872340425531923,0,5
H&S__UK__B00C1S9C4Y,B00C1S9C4Y,H&S,UK,-0.00022877508328306972,4,0
H&S__DE__B07GN1J9RV,B07GN1J9RV,H&S,DE,-4.289471179893563e-32,2,9
H&S__US__B071KX221S,B071KX221S,H&S,US,-0.011852418889310592,2,-1
Tritart__ES__B08Q42K5PK,B08Q42K5PK,Tritart,ES,-0.09788092835519661,0,5
Espring__DE__B071W1B6L3,B071W1B6L3,Espring,DE,-0.2030640668523677,4,0
Espring__IT__B01IHT0V18,B01IHT0V18,Espring,IT,0.4698181818181817,2,-1
Tritart__DE__B07D3RXR76,B07D3RXR76,Tritart,DE,-0.5014556040756913,0,5
H&S__DE__B00C01Z4BC,B00C01Z4BC,H&S,DE,-0.019759450171821322,3,-1
H&S__UK__B01G9KXXGM,B01G9KXXGM,H&S,UK,-0.0033856014602407516,4,0
Espring__DE__B08ZXT53T4,B08ZXT53T4,Espring,DE,-0.0,2,9
Espring__US__B01JIVXOUO,B01JIVXOUO,Espring,US,-0.39340300357039176,2,9
H&S__UK__B07DW2WX4N,B07DW2WX4N,H&S,UK,-0.0016257426989478522,0,5
Espring__DE__B015H6NFPS,B015H6NFPS,Espring,DE,0.0,2,9
H&S__DE__B00TY1HA18,B00TY1HA18,H&S,DE,0.34793863099921335,7,8
H&S__ES__B07DW4QJX7,B07DW4QJX7,H&S,ES,3.251448576643873e-31,0,5
Espring__ES__B09LVD6J4C,B09LVD6J4C,Espring,ES,1.4195833333333332,5,6
H&S__US__B07DW7R9V8,B07DW7R9V8,H&S,US,-0.004647317093911772,6,-1
H&S__UK__B072JVLVPM,B072JVLVPM,H&S,UK,-0.00045010872869931785,7,8
H&S__ES__B071LJBPNT,B071LJBPNT,H&S,ES,0.0,1,4
H&S__ES__B07DPTK7FG,B07DPTK7FG,H&S,ES,-7.523103004506394e-32,1,4
Espring__UK__B01HXOSRYG,B01HXOSRYG,Espring,UK,-0.4306340776332623,1,1
H&S__ES__B07RLJBB1N,B07RLJBB1N,H&S,ES,0.0,6,2
H&S__UK__B01NATTRD3,B01NATTRD3,H&S,UK,-0.006886219178625398,7,-1
Espring__IT__B07V6LNFZQ,B07V6LNFZQ,Espring,IT,2.6399999999999992,5,6
Tritart__DE__B08Q449TCF,B08Q449TCF,Tritart,DE,-0.6056603773584907,0,5
H&S__ES__B01MY6R11P,B01MY6R11P,H&S,ES,-0.615,6,2
H&S__UK__B074VWN2SN,B074VWN2SN,H&S,UK,-0.006143100184904502,1,4
Tritart__UK__B073WNN94R,B073WNN94R,Tritart,UK,-1.3092216218918191,3,-1
