ASIN,MARKETPLACE,BRAND_NAME,ORGANIC_UNITS_SOLD,SALE_PRICE_EUR
B074VWN2SN,PL,H&S,1.2432432432432432,2.7340312055675677
B00C01Z4BC,PL,H&S,0.8571428571428571,3.233591671714286
B07S5JTFYG,UK,H&S,1.0657894736842106,3.4403184502894733
B0788Z6RBV,PL,H&S,1.0,3.563532799875
B07S5KW5WQ,UK,H&S,6.895348837209302,3.630111245046512
B07S732NKF,UK,H&S,4.848837209302325,3.6707691100930235
B07JHGCQPR,UK,H&S,10.034883720930232,3.7588795419069765
B07D25PJS4,UK,H&S,12.5,3.7588795419069765
B07GZ9GH8T,UK,H&S,5.505747126436781,3.76504980770115
B00C01Z4BC,UK,H&S,1.3975903614457832,3.7689309126506023
B074VWN2SN,UK,H&S,5.329411764705882,3.8358881166235292
B07JHGCQPR,US,H&S,0.6923076923076923,3.9955589462307697
B01NAHVSFS,UK,H&S,2.5232558139534884,4.05264936322093
B074VWN2SN,DE,H&S,0.625,4.115
B00C01Z4BC,US,H&S,1.7903225806451613,4.181517952661291
B072JVLVPM,DE,H&S,1.25,4.24
B0788Z6RBV,DE,H&S,17.41176470588235,4.248823529411765
B00C01Z4BC,DE,H&S,1.15,4.2525
B07JHGCQPR,ES,H&S,0.640625,4.29
B0721JH8PH,DE,H&S,1.0425531914893618,4.309148936170213
B07DW4QJX7,US,H&S,0.5517241379310345,4.408470806413794
B07GTRCT4Z,UK,H&S,5.35632183908046,4.53334943991954
B07KV8NYBN,UK,H&S,13.811764705882354,4.610253952117647
B07RSR4B12,UK,H&S,3.9411764705882355,4.617007514623529
B07MVH416B,UK,H&S,1.0675675675675675,4.622451409162162
B07FW3X7CQ,UK,H&S,4.746987951807229,4.623492063698795
B07N8BLMZ7,UK,H&S,16.686046511627907,4.624100545255814
B0788Z6RBV,UK,H&S,12.930232558139535,4.624100545255814
B01MSWBUX5,UK,H&S,6.453488372093023,4.624100545255814
B07W51S61C,UK,H&S,3.1511627906976742,4.624100545255814
B07RD69YX8,UK,H&S,36.45977011494253,4.62434003291954
B07TKCV8HT,UK,H&S,6.223529411764706,4.6319596975764705
B01DSCC1Y4,DE,Tritart,1.8363636363636364,4.662727272727272
B07KV8NYBN,DE,H&S,3.108433734939759,4.68
B0739F745J,UK,H&S,2.5647058823529414,4.684637485035294
B07RSR4B12,US,H&S,0.7,4.726429740575
B07DW2WX4N,US,H&S,0.14285714285714285,4.7421975928775515
B07DW2WX4N,IT,H&S,1.25,4.78
B07GN1J9RV,UK,H&S,19.0609756097561,4.793446771365854
B074VWN2SN,US,H&S,0.3333333333333333,4.796542592644444
B07D25PJS4,DE,H&S,1.032258064516129,4.841612903225807
B07RQJJ9VX,US,H&S,1.0365853658536586,4.860502376585366
B01MSWBUX5,US,H&S,0.8115942028985508,4.862978744521739
B06Y4ND43F,UK,H&S,10.705882352941176,4.901977975964706
B07VNGCG2J,UK,H&S,19.232558139534884,4.904451918930232
B07FMDHYCK,UK,H&S,14.313953488372093,4.917801984209302
B07FQ4RB6V,UK,H&S,15.674418604651162,4.917801984209302
B07RQJJ9VX,UK,H&S,8.08235294117647,4.921012172588235
B07WTXZ2JC,UK,H&S,2.0588235294117645,4.921765049352941
B01MY6R11P,UK,H&S,8.418604651162791,4.924477016918605
B07GZ9GH8T,US,H&S,1.4878048780487805,4.934822873560975
B07W51S61C,US,H&S,1.0,4.960734454000001
B07GTRCT4Z,US,H&S,1.72,4.9676729752533335
B072JVLVPM,UK,H&S,11.847058823529412,4.971513724682353
B07N8BLMZ7,ES,H&S,0.5172413793103449,4.99
B07WTXZ2JC,DE,H&S,5.470588235294118,4.99
B07G57DPXZ,DE,H&S,1.425,5.0025
B015FX4ZZ2,DE,Espring,1.543859649122807,5.007543859649123
B07RSR4B12,DE,H&S,1.4883720930232558,5.00860465116279
B07VYSNNPT,DE,Tritart,0.7619047619047619,5.066190476190476
B073D5CMT8,DE,Tritart,4.153846153846154,5.070769230769231
B07D72GCWP,US,H&S,0.5660377358490566,5.15172941464151
B00DHPM6GG,US,H&S,4.4655172413793105,5.1831351325
B07PPM6WDZ,US,H&S,1.2653061224489797,5.201387914489795
B07WP6Y8XZ,UK,H&S,2.972972972972973,5.20462545345946
B07RLJBB1N,DE,H&S,1.631578947368421,5.209298245614035
B06W2GK4N9,UK,H&S,14.773809523809524,5.2333943633809525
B01H2A42C2,DE,Espring,0.53125,5.233750000000001
B06XRQ33CC,DE,H&S,3.2098765432098766,5.236913580246913
B0788Z6RBV,ES,H&S,4.0,5.317586206896552
B07N8BLMZ7,DE,H&S,0.3902439024390244,5.319268292682927
B0788Z6RBV,FR,H&S,7.517647058823529,5.342941176470589
B074LTCT6C,US,Tritart,8.545454545454545,5.360968691352273
B072LXQPCH,UK,H&S,30.776470588235295,5.387990750694118
B01MY6R11P,US,H&S,1.280701754385965,5.398714919912281
B07S5KW5WQ,US,H&S,0.4482758620689655,5.419372122206897
B07JWL5DHB,UK,H&S,6.9411764705882355,5.42848539462353
B07GTF236R,US,H&S,1.7375,5.4414803900875
B07QV6S7N3,UK,H&S,12.813953488372093,5.443356294348837
B07TQS7PDP,US,H&S,0.5,5.4722424105
B07WTXZ2JC,US,H&S,0.8888888888888888,5.476342790777777
B00C01Z4BC,ES,H&S,0.20833333333333334,5.489999999999999
B07KV8NYBN,ES,H&S,0.3880597014925373,5.49
B07GZ9GH8T,DE,H&S,4.870588235294117,5.49
B01HXVPJ68,IT,Espring,0.75,5.5
B072LXQPCH,US,H&S,0.25,5.529345796625
B078X4KLL3,US,H&S,0.375,5.560829900750001
B06Y6F2W4Z,UK,H&S,27.3953488372093,5.585064363244187
B07S5KW5WQ,DE,H&S,0.352112676056338,5.59
B07D72GCWP,DE,H&S,2.231707317073171,5.611951219512195
B01MSWBUX5,DE,H&S,0.72,5.63
B07TQS7PDP,UK,H&S,11.905882352941177,5.669531755188236
B07BMZGV4Z,UK,H&S,32.96470588235294,5.688166555564706
B073ZQFKV4,US,H&S,19.308823529411764,5.699390191602941
B07JZD2S4S,UK,H&S,1.4155844155844155,5.757782779753247
B07VNGCG2J,US,H&S,1.8705882352941177,5.771272406141176
B07TN75FC1,UK,H&S,16.240963855421686,5.782081155975904
B078X4KLL3,UK,H&S,4.273809523809524,5.7824025746666665
B07D72GCWP,UK,H&S,1.2222222222222223,5.782402574666667
B07DW4QJX7,UK,H&S,13.529411764705882,5.782716430564706
B07DW2WX4N,UK,H&S,6.906976744186046,5.783022987488372
B06XRQ33CC,UK,H&S,9.337209302325581,5.783022987488372
B00DHPM6GG,UK,H&S,4.790697674418604,5.783022987488372
B07RLJBB1N,UK,H&S,2.6511627906976742,5.783022987488372
B07G57DPXZ,UK,H&S,5.290697674418604,5.783022987488372
B07DPRTTQ9,UK,H&S,7.811764705882353,5.783657998258824
B07F1WVSWR,UK,H&S,1.6941176470588235,5.789469993070588
B07D72GCWP,ES,H&S,0.6712328767123288,5.79
B07JHNHW2K,US,H&S,3.302325581395349,5.797016267639535
B07N8BLMZ7,US,H&S,1.5172413793103448,5.820998644706897
B072JVLVPM,US,H&S,2.2195121951219514,5.847286841853658
B07QV6S7N3,US,H&S,0.7692307692307693,5.8476740330000005
B07G57DPXZ,US,H&S,2.202247191011236,5.897301023123596
B07TDLK5W3,US,H&S,2.557377049180328,5.905532776819673
B06Y4XSC22,UK,H&S,46.901234567901234,5.962403967197531
B00C01Z4BC,IT,H&S,0.14285714285714285,5.99
B07GTRCT4Z,DE,H&S,0.9,5.99
B01DSCC1Y4,ES,Tritart,1.0,5.99
B07JHGCQPR,FR,H&S,1.0597014925373134,5.99
B08WWYSXLJ,ES,Tritart,1.0,5.99
B0788Z6RBV,US,H&S,2.4423076923076925,6.016085743923076
B015FX4ZZ2,ES,Espring,0.14814814814814814,6.027037037037037
B0721JH8PH,UK,H&S,2.0256410256410255,6.041121311320513
B07PPM6WDZ,UK,H&S,4.0843373493975905,6.073529968024097
B01MSWBUX5,ES,H&S,1.4444444444444444,6.078888888888889
B015FX4ZZ2,FR,Espring,0.8243243243243243,6.104864864864865
B01N8XWTUI,UK,H&S,47.42857142857143,6.112763142416666
B07DZHXPL6,PL,H&S,0.5357142857142857,6.124070481964286
B08Q44G5ZH,DE,Tritart,0.6818181818181818,6.126363636363636
B07JZD2S4S,DE,H&S,0.35714285714285715,6.1292857142857144
B0788Z6RBV,IT,H&S,2.6511627906976742,6.12953488372093
B015FX4ZZ2,IT,Espring,0.34782608695652173,6.142173913043479
B06W2GK4N9,US,H&S,2.15,6.1860643414
B07GKV4789,PL,H&S,0.3793103448275862,6.211444857310346
B0739F745J,US,H&S,0.0,6.218408875333334
B07JZD2S4S,ES,H&S,0.8461538461538461,6.220769230769231
B01DSCC1Y4,IT,Tritart,1.0,6.24
B01MSQQLCE,ES,Espring,0.0,6.253333333333333
B08Q449TCF,DE,Tritart,0.36363636363636365,6.25969696969697
B07VNGCG2J,DE,H&S,0.5645161290322581,6.264193548387096
B07JHGCQPR,DE,H&S,0.15625,6.265000000000001
B07KV8NYBN,FR,H&S,1.4047619047619047,6.29
B078X394PF,UK,H&S,11.011494252873563,6.300387127908047
B072Q35687,US,H&S,0.851063829787234,6.306944374361702
B08Q43R7MK,DE,Tritart,3.2790697674418605,6.356279069767441
B01MY6R11P,DE,H&S,0.16666666666666666,6.3566666666666665
B06XRQ33CC,US,H&S,0.8656716417910447,6.372250121283582
B01N8XWTUI,US,H&S,2.025,6.3764510327
B06Y4ND43F,US,H&S,1.0476190476190477,6.3782738430476185
B01N8XWTUI,DE,H&S,2.3048780487804876,6.392439024390245
B01NAHVSFS,US,H&S,0.1111111111111111,6.411087882037037
B01H723G6S,DE,Espring,0.7323943661971831,6.412535211267606
B07JHNHW2K,DE,H&S,14.256410256410257,6.424615384615385
B07DW4QJX7,DE,H&S,0.5263157894736842,6.437368421052632
B06WD53P6D,US,H&S,1.5,6.453009096800001
B01MY6R11P,FR,H&S,1.1458333333333333,6.483750000000001
B07D25PJS4,ES,H&S,0.9166666666666666,6.489999999999999
B07G57DPXZ,ES,H&S,0.5675675675675675,6.49
B078X394PF,DE,H&S,1.0,6.49
B07D25PJS4,FR,H&S,0.5714285714285714,6.49
B01JXX9960,DE,H&S,4.116883116883117,6.49
B07BMZGV4Z,DE,H&S,1.0,6.49
B00C01Z4BC,FR,H&S,0.35185185185185186,6.490000000000001
B08Q3CP2J5,DE,Tritart,2.776470588235294,6.495882352941176
B072LXQPCH,DE,H&S,0.6511627906976745,6.524883720930233
B01DSCC1Y4,PL,Tritart,0.125,6.554518392
B07TKCV8HT,US,H&S,0.6071428571428571,6.573780491321429
B01JP1QDKU,US,Espring,2.1264367816091956,6.590728811977012
B0721JH8PH,US,H&S,0.2857142857142857,6.592483418857142
B07QV6S7N3,DE,H&S,1.588235294117647,6.625294117647059
B0721JH8PH,ES,H&S,0.2857142857142857,6.632857142857143
B07NTY3D93,IT,Tritart,1.0,6.658823529411765
B01N0M6HK5,IT,Espring,0.0,6.695
B07RLJBB1N,US,H&S,0.810126582278481,6.702037181291138
B074VWN2SN,ES,H&S,1.0,6.710000000000001
B072Q35687,UK,H&S,3.2470588235294118,6.736140199929412
B07JHNHW2K,ES,H&S,1.4426229508196722,6.758852459016393
B07CKHXWR9,DE,H&S,0.3114754098360656,6.768688524590163
B08Q449TCF,ES,Tritart,0.041666666666666664,6.789166666666667
B07JZD2S4S,FR,H&S,0.25,6.80875
B07NTY3D93,DE,Tritart,0.2926829268292683,6.819268292682928
B07JWL5DHB,DE,H&S,1.9473684210526316,6.828157894736843
B07VYSNNPT,ES,Tritart,0.14285714285714285,6.847142857142857
B08299Z7PM,DE,Tritart,0.08695652173913043,6.859565217391305
B06XS97SKH,US,H&S,1.2318840579710144,6.864998865623188
B07JHGCQPR,IT,H&S,0.45,6.889999999999999
B07RLM8RRX,DE,Espring,0.8823529411764706,6.904705882352941
B07CNDR86T,UK,H&S,3.7294117647058824,6.941577438870588
B07CG63DK7,UK,H&S,3.6823529411764704,6.941577438870588
B073TRQQQT,UK,H&S,7.127906976744186,6.941945430046512
B06Y51KHKW,UK,H&S,2.546511627906977,6.941945430046512
B07TDLK5W3,UK,H&S,3.9069767441860463,6.941945430046512
B073ZQFKV4,UK,H&S,8.767441860465116,6.941945430046512
B078PYYXBH,UK,H&S,13.720930232558139,6.948620462755814
B01MY6R11P,IT,H&S,0.22580645161290322,6.9803225806451605
B07V4G5TJK,DE,Espring,0.0,6.989999999999999
B07GN1J9RV,DE,H&S,0.36923076923076925,6.99
B07FMDHYCK,DE,H&S,0.5714285714285714,6.99
B09LVD6J4C,DE,Espring,1.0,6.99
B09LVF7X3D,DE,Espring,0.7906976744186046,6.99
B09LVD7TV4,DE,Espring,1.3846153846153846,6.99
B09LVD47W6,DE,Espring,0.4473684210526316,6.99
B01MSWBUX5,FR,H&S,0.14285714285714285,6.99
B07DK6L9N7,DE,H&S,1.0,6.99
B09LVB5HM6,DE,Espring,0.5192307692307693,6.99
B09LVCLKB2,DE,Espring,0.3373493975903614,6.990000000000001
B07DLMXHM1,UK,H&S,23.238095238095237,7.002232183880953
B07SYKTLG9,DE,Espring,0.12698412698412698,7.005873015873016
B074LTCT6C,UK,Tritart,0.9107142857142857,7.011565355178571
B073TRQQQT,US,H&S,3.630952380952381,7.014437446892858
B07JHNHW2K,UK,H&S,19.61627906976744,7.046075940372093
B01MSWBUX5,IT,H&S,0.13793103448275862,7.058965517241379
B08Q43R7MK,ES,Tritart,1.1176470588235294,7.078235294117647
B0721JH8PH,FR,H&S,0.5555555555555556,7.095555555555555
B01JXX9960,US,H&S,0.5192307692307693,7.143261253211539
B06Y4ND43F,DE,H&S,0.7058823529411765,7.19
B07D26LYLH,UK,H&S,5.2784810126582276,7.20806414407595
B08Q43R7MK,FR,Tritart,0.12195121951219512,7.244390243902439
B01LIQ82OA,DE,Tritart,5.458823529411765,7.260588235294118
B07PPM6WDZ,ES,H&S,0.9591836734693877,7.263469387755102
B07RSR4B12,FR,H&S,0.14,7.27
B06Y51KHKW,US,H&S,0.34210526315789475,7.2753781175526315
B08Q449TCF,IT,Tritart,0.13513513513513514,7.287297297297298
B07DPRTTQ9,DE,H&S,0.8048780487804879,7.287560975609757
B014TDD6P4,FR,Espring,0.09259259259259259,7.287777777777778
B07G57DPXZ,FR,H&S,1.0,7.29
B07RSR4B12,ES,H&S,0.29411764705882354,7.29
B074VWN2SN,FR,H&S,0.05,7.290000000000001
B085H4Z36Y,DE,Tritart,3.1538461538461537,7.297692307692308
B01M717W8W,FR,Espring,0.6153846153846154,7.297692307692308
B07CPD18VZ,DE,H&S,0.38235294117647056,7.313529411764706
B07CKHXWR9,US,H&S,0.16666666666666666,7.317391298
B00BVUIVYU,US,H&S,1.2608695652173914,7.325803891855073
B07DW2WX4N,DE,H&S,0.11764705882352941,7.342941176470588
B06WD53P6D,UK,H&S,8.209302325581396,7.375115422232559
B07DZ9L7KS,UK,H&S,2.5294117647058822,7.379843548611765
B073TRQQQT,DE,H&S,0.6666666666666666,7.389999999999999
B08Q43R7MK,IT,Tritart,1.44,7.405600000000001
B07JZD2S4S,US,H&S,0.0,7.4089731663333325
B06Y6F2W4Z,DE,H&S,0.6666666666666666,7.4090476190476195
B074SXX9J9,PL,Tritart,0.625,7.42303201275
B08Q449TCF,FR,Tritart,0.12903225806451613,7.473870967741935
B07TQS7PDP,DE,H&S,1.1506849315068493,7.489999999999999
B07GZ9GH8T,ES,H&S,0.11764705882352941,7.49
B07GZ9GH8T,FR,H&S,0.41025641025641024,7.49
B07WTXZ2JC,FR,H&S,0.09090909090909091,7.49
B07WTXZ2JC,ES,H&S,0.5,7.49
B07N8BLMZ7,IT,H&S,0.29411764705882354,7.49
B01NAHVSFS,DE,H&S,0.0,7.49
B07QV6S7N3,ES,H&S,0.4925373134328358,7.49
B07S5KW5WQ,FR,H&S,0.8666666666666667,7.49
B07S5KW5WQ,IT,H&S,0.13333333333333333,7.49
B07D25PJS4,IT,H&S,0.08,7.49
B073D5CMT8,ES,Tritart,1.0,7.515000000000001
B01IRAN2R2,ES,Espring,0.2,7.5174
B018OMJGCS,UK,H&S,13.162790697674419,7.5347567167441865
B07PPM6WDZ,DE,H&S,0.75,7.536875
B01MY6R11P,ES,H&S,0.6363636363636364,7.553636363636364
B06Y4JMTWV,DE,H&S,1.3513513513513513,7.557567567567568
B07W51S61C,DE,H&S,2.5921052631578947,7.582105263157895
B01N6RJ6VB,US,H&S,1.18,7.58894840006
B07S5KW5WQ,ES,H&S,0.9411764705882353,7.59
B014TDD6P4,ES,Espring,0.15151515151515152,7.6066666666666665
B01IRAN2R2,FR,Espring,1.7,7.636666666666667
B00K1Q9HIE,US,H&S,0.55,7.648461465325001
B07TN75FC1,US,H&S,3.1025641025641026,7.664715311051282
B07DPRTTQ9,US,H&S,0.8636363636363636,7.699328806590909
B01MXVFWJM,US,H&S,2.1,7.721198858775
B06XRLHD1L,DE,Espring,0.0,7.723333333333334
B07JZD2S4S,IT,H&S,1.0,7.723333333333334
B07D72GCWP,IT,H&S,0.12903225806451613,7.751290322580645
B01NATTRD3,PL,H&S,1.1,7.7650319015
B072LXQPCH,ES,H&S,0.046875,7.79
B07CG63DK7,DE,H&S,1.25,7.79
B01FWEBV6K,IT,Espring,0.5,7.8
B078PYYXBH,DE,H&S,0.6363636363636364,7.808181818181819
B01N5EAVIA,DE,Tritart,1.364864864864865,7.81972972972973
B07GTF236R,DE,H&S,0.5111111111111111,7.834444444444444
B016LHY28G,PL,H&S,0.8333333333333334,7.841709406333333
B0791GDKBP,US,H&S,1.379746835443038,7.848120364772153
B07DZHXPL6,UK,H&S,15.235294117647058,7.868666245447058
B07SYKTLG9,ES,Espring,0.0,7.89
B07DW7R9V8,US,H&S,4.425925925925926,7.907749315481482
B06Y4JMTWV,UK,H&S,3.5764705882352943,7.93721891462353
B07DPRTTQ9,FR,H&S,1.3333333333333333,7.94
B018I2NCBA,ES,Espring,0.7808219178082192,7.9626027397260275
B07VNGCG2J,FR,H&S,0.5555555555555556,7.989999999999999
B07DW2WX4N,ES,H&S,0.28169014084507044,7.989999999999999
B07DLMXHM1,DE,H&S,1.0,7.99
B07W51S61C,ES,H&S,0.10526315789473684,7.99
B07FMDHYCK,ES,H&S,0.15384615384615385,7.99
B07VVLJ12R,DE,Tritart,0.35714285714285715,7.99
B07QV6S7N3,FR,H&S,0.46938775510204084,7.99
B07FQ4RB6V,FR,H&S,1.0,7.99
B07KV8NYBN,IT,H&S,0.5625,7.99
B07TN75FC1,IT,H&S,8.604651162790697,7.99
B07FMDHYCK,FR,H&S,1.0,7.99
B01IRAN2R2,IT,Espring,0.7951807228915663,8.003855421686747
B0721JH8PH,IT,H&S,0.3333333333333333,8.027037037037037
B07WDCV13B,DE,Tritart,0.5849056603773585,8.054150943396227
B01KKAWI72,IT,Espring,1.1612903225806452,8.054516129032258
B07TDLK5W3,DE,H&S,1.2166666666666666,8.058333333333334
B07DZHXPL6,DE,H&S,11.395348837209303,8.059767441860465
B073ZQFKV4,FR,H&S,0.3018867924528302,8.065471698113209
B07PZW2DH7,UK,Tritart,2.2976190476190474,8.069929364166667
B01N8XWTUI,ES,H&S,0.3333333333333333,8.09
B07GTRCT4Z,ES,H&S,0.1111111111111111,8.09
B07TDLK5W3,ES,H&S,0.2558139534883721,8.09232558139535
B07GTF236R,UK,H&S,5.023529411764706,8.10043844717647
B07D72GCWP,FR,H&S,0.3,8.12
B01HZDQ5Q2,PL,Espring,1.0,8.134268418
B08Q46SPCB,DE,Tritart,0.43137254901960786,8.146862745098039
B07TN75FC1,ES,H&S,2.5632183908045976,8.147471264367816
B01IRAN2R2,DE,Espring,0.4383561643835616,8.157123287671233
B072HKHJJS,US,Tritart,2.642857142857143,8.22500763057143
B072Q35687,DE,H&S,1.0909090909090908,8.226363636363637
B00BVUIVYU,DE,H&S,11.279069767441861,8.230697674418606
B018OMJGCS,US,H&S,2.0,8.234271281625
B07CG63DK7,US,H&S,0.14285714285714285,8.237446792428571
B07VYSNNPT,FR,Tritart,0.125,8.24
B09Q3B7KNC,US,Espring,0.06779661016949153,8.243265418084746
B07T5CJDQ7,DE,Espring,0.7272727272727273,8.244545454545454
B019XU7QLS,DE,Espring,1.135135135135135,8.26027027027027
B08Q3CP2J5,ES,Tritart,0.48717948717948717,8.288717948717949
B07DZHXPL6,ES,H&S,6.333333333333333,8.300344827586207
B01MSWD3MC,US,H&S,2.824324324324324,8.31535475841892
B08299Z7PM,FR,Tritart,0.0,8.31909090909091
B07V2NRTWB,DE,Tritart,0.6666666666666666,8.323333333333332
B088RHXFJ4,US,Espring,0.23170731707317074,8.323884512170732
B07CNDR86T,US,H&S,0.3333333333333333,8.324791852333332
B08X1Q96MN,ES,Tritart,1.2857142857142858,8.332857142857142
B00BVUIVYU,UK,H&S,5.694117647058824,8.346963133905883
B06Y4S6ZCP,US,H&S,2.5,8.352281327458334
B078X5N2K1,PL,H&S,0.6206896551724138,8.354520606482758
B07GKV4789,US,H&S,0.7377049180327869,8.355284913344262
B07TN75FC1,FR,H&S,4.114942528735632,8.39
B01LIQ82OA,ES,Tritart,1.7471264367816093,8.403793103448276
B07PPM6WDZ,IT,H&S,0.2962962962962963,8.43074074074074
B09M77GSNH,DE,Espring,0.4925373134328358,8.437761194029852
B01991A32K,DE,Espring,2.1451612903225805,8.441612903225806
B0847TF6T1,DE,Espring,0.3617021276595745,8.46872340425532
B01JXX9960,UK,H&S,19.3953488372093,8.480009730209304
B01N5EAVIA,ES,Tritart,1.105263157894737,8.49
B07CG63DK7,ES,H&S,1.0,8.49
B07CNDR86T,DE,H&S,0.8333333333333334,8.49
B07TQS7PDP,FR,H&S,0.8333333333333334,8.49
B074VWN2SN,IT,H&S,0.058823529411764705,8.49
B07TQS7PDP,ES,H&S,1.0136986301369864,8.49
B07RSR4B12,IT,H&S,0.0,8.49
B07QV6S7N3,IT,H&S,0.38095238095238093,8.49
B07CPD18VZ,ES,H&S,0.0,8.49
B0791GDKBP,DE,H&S,4.265060240963855,8.49
B07FMDHYCK,IT,H&S,0.27450980392156865,8.49
B07DW4QJX7,ES,H&S,0.1590909090909091,8.49
B08Q3BSVTM,DE,Tritart,0.3333333333333333,8.502820512820513
B01MSQQLCE,FR,Espring,0.21875,8.5075
B0829B5PR6,DE,Tritart,0.8421052631578947,8.516315789473685
B09M77GSNH,ES,Espring,1.0,8.516521739130434
B07V6LNFZQ,DE,Espring,2.0,8.523333333333333
B07BMZGV4Z,US,H&S,0.4782608695652174,8.54982352426087
B01LIQ82OA,IT,Tritart,0.5223880597014925,8.557164179104479
B0847THKYH,DE,Espring,0.7901234567901234,8.578888888888889
B06Y4JMTWV,FR,H&S,0.38636363636363635,8.58090909090909
B07G57DPXZ,IT,H&S,0.07407407407407407,8.59
B01M717W8W,ES,Espring,0.0,8.59
B07PPM6WDZ,FR,H&S,1.0,8.590000000000002
B01GK3YTG6,DE,Espring,1.4415584415584415,8.613376623376624
B01AM85KWW,ES,Espring,0.0,8.621219512195122
B01NBTJL36,DE,H&S,3.9058823529411764,8.625294117647059
B07V6LYQKK,DE,Espring,0.40425531914893614,8.628297872340426
