ASIN,MARKETPLACE,REGION,BRAND_NAME,combined_string_full,combined_string_categories,ORGANIC_UNITS_SOLD,SALE_PRICE_EUR
B06X6G3FP1,ES,EU,Espring,"Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Our customer favorites: Home and kitchen Cutting fords Our clients' favorites: Furniture.      MAXKO Cutting Mat A2 60x45cm      The MAXKO 60cmx45cm cutting mat is a self healing surface with proven and durable construction   Uses     For all your crafts  patchwork work   Benefits     Carry out precise work on the gridded surface in cm      Provides an angle division with an interval of 15      Reusable as it fills light and medium cuts      Reduces damage   Features     Graduation base in cm      Printed with a practical grid      Your purchase includes  1 Cutting Base of 60cm x 45 cm   Be convinced by the many advantages of the MAXKO universal cutting mat  Many customers are already enthusiastic about using MAXKO products Thank you Due to our great experience  we always offer our customers new products in the field of stationery  Precisely in this field  products of high quality and durability are demanded  which satisfy customers with their ease of use  br This is exactly the combination that MAXKO offers its customers ","Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Our customer favorites: Home and kitchen Cutting fords Our clients' favorites: Furniture",1.0,22.79
B017GLNHEG,IT,EU,H&S,Tools & Home Improvement. Hardware. Wheels.  PRODUCT DESCRIPTION These caster wheels for heavy duty swivel bolt fixing and braking feature M12 screw thread casters and non marking polyurethane wheels  Ideal for a huge variety of uses from DIY to Industrial applications Home  Schools   shops and hospitals etc  Features  Made of heavy steel and polyurethane  Double double swivel head with ball bearing  Sero type  normal bearing  non metallic marking polyurethane material  M12 screw bolt fixing with 4 spare M12 nuts  2x swivel with brake and 2x swivel caster wheels  load rating  200kg  50kg each   ideal for a huge variety of uses from DIY to industrial applications  home  schools  shops and hospitals  Measurements  High Height  100mm  without screw    Wheel Size  Diagram  75mm   3   Width  20mm  M12 Screw Fixing  Dia   12mm  Length  30mm Package Contents  2 x Swivel with Brake Wheels   2 x Swivel Wheels  4 x M12  Nuts,Tools & Home Improvement. Hardware. Wheels,1.446808510638298,16.74468085106383
B098XCZZ3Q,ES,EU,Espring,Home & Kitchen. Kitchen & Dining. Pastry utensils. GOURMEO Loaf for 2 French Bread At Gourmeo we would like to do something  Joy  Cooking and baking should not be daily challenges  but a pleasure  A way to experience new things and learn to know yourself  Our products are designed to ensure that the kitchen becomes a place that inspires you    and that fills  your home of warmth and fun  Even heat distribution  The many small holes in the baking tray ensure ideal heat distribution  Moisture escapes through the holes  so the baguettes become crispy on the outside and soft on the inside  Non stick coating  Finally no more adhesives  Thanks to the non stick coating  the finished baguettes can be easily removed from the sheet without the dough breaking  Easy to clean  You only need a cloth damp and soft and a little detergent  It is recommended to always clean by hand  as this will damage the non stick coating  in the dishwasher  For more time together  Cooking and baking is also a family affair  why not include the little ones  Show your loved ones your most special cooking tricks with our kitchen utensils  Baking fun with a delicious result and productive time together ,Home & Kitchen. Kitchen & Dining. Pastry utensils,0.0,16.99
B07GTF236R,US,US,H&S,Sports & Outdoors. Exercise & Fitness. Straps. H S Yoga Stretching Straps for Pilates   Gym Workouts   Long Cotton Exercise Strap for Stretching   Adjustable Thick Yoga Strap for Gymnastics Equipment for Home  BEND YOUR BODY AND INSPIRE YOURSELF   Our strong and adjustable yoga straps are designed to aid your practice  they are made of soft cotton and feature a heavy duty D ring buckle  This yoga equipment helps to minimize the risk of injuries while letting you enjoy greater flexibility and range of motion  Want to recover from injuries using yoga  These H S yoga straps are fantastic for assisting with muscle recovery   STAY STRONG  STAY BALANCED  AND LIVE YOUR BEST FIT LIFE   Whether you need to get back to your best or need a little extra confidence  these yoga straps will help you with your yoga journey  The cotton strap is suitable for both experienced and beginner yogis that are just getting started  The yoga strap for stretching helps you get grips with the finer strategies and get the best benefits from it   Why choose H S Yoga Straps   The stretching strap for yoga is made of soft and sturdy cotton material  and the brand badge is made of leatherette to give a leather feel and look   The D ring buckles allow you to switch between yoga positions   It helps you stretch to your hard to reach limbs  and improve your flexibility and stability in each position   The set comes with 2 yoga belts  1 85 and 2 45 meters in length  and 3 8cm in width   Our Mission   Here at H S  We aim to improve and enrich people  _s lives through our meaningful and advanced products of uncompromising quality and integrity  Our innovations respond to our customer  _s needs and reflect our brand to the external world  Here we harness the best of our collective expertise to deliver world class solutions to our people at all times  ,Sports & Outdoors. Exercise & Fitness. Straps,1.7375,5.4414803900875
B0857JT2ZP,DE,EU,Espring,"Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Transparent Paper.      Creative with tracing paper      A classic craft item is tracing paper  Whether flowers  stars  lanterns  lanterns or inserts for cards  Tracing paper can be used universally and can be found in every creative household       WINTEX tracing paper gives room for creativity      The WINTEX tracing paper is ideal for any creative craft work  The package with 100 sheets in transparent white  offers ideal basic equipment and can be printed with most common inkjet and laser printers that use the   transparent  film  setting  have  We recommend allowing the printed tracing paper pages to dry sufficiently  The quality is particularly robust  thanks to the grammage of 102 g m² and is suitable for any craft work  With the dimensions of 16x16 cm  it is a classic size in the paper sector       WINTEX  color your office      Especially when it comes to working productively and organized  the right office equipment and supplies are particularly important  It is important to WINTEX to support you with products that make your everyday office life and organization even easier  For even more creativity  inspiration  motivation and lots of fun  and enjoyment of your own workplace ","Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Transparent Paper",0.3333333333333333,10.99
B073WBT4V7,DE,EU,Tritart,Beauty & Personal Care. Makeup. Brush sets. DISCOVER OUR COSMETIC BRUSH CLEANER SET  Thorough cleaning and improved application quality  Our cosmetic brush cleaner set offers effective and thorough cleaning for your make up brushes  Paint brush  Effortlessly remove make up residue and product buildup and enjoy improved application quality  The set includes a special brush cleaning soap and a practical cleaning brush   Brush soap for cleaning Vegan and cruelty free All in one set High quality material ,Beauty & Personal Care. Makeup. Brush sets,3.292134831460674,9.96752808988764
B01NATTRD3,ES,EU,H&S,Tools & Home Improvement. Kitchen & Bath Fixtures. Mobile artichokes. Do you want to renew your shower for a refreshing bathing experience  Discover our high quality shower head  Made of durable ABS with an elegant chrome finish  this shower head is the perfect replacement for your bathroom  It does not fade and is completely safe for long lasting use  Featured    High pressure and quality   5 different jets   Universal fit without tools   Anti limescale and easy to clean,Tools & Home Improvement. Kitchen & Bath Fixtures. Mobile artichokes,0.3636363636363636,15.838484848484848
B07PPM6WDZ,UK,UK,H&S,"Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Markers. Our Metallic Marker Pens are perfect for any use and situation  whether it is Arts and Crafts  Warehouse notification  or even just writing notes at home  these can do the job  They are odourless and xylene free  which makes it perfect for any age to use  Essential for anyone needed to jot down important notes  or for any design situation ","Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Markers",4.084337349397591,6.073529968024097
B00NBCCR0A,IT,EU,H&S,Books. Calendars. Personal organizers.   DESCRIZIONE PRODOTTO Use this executive conference folder to stay organised and look professional for that important meeting  Finished in a high quality black faux leather with stitching detail  Features  Made of high quality faux leather  Zip close folder design  Comes with an A4 paper pad  Lined in black PVC  Internal zipped pouch  Document pouch  Slim pouch  Pen holder in spine  Slots for 11 business or bank cards Measurements   H 33cm x  W 25 5cm Package Contents  1 x Conference Folder ,Books. Calendars. Personal organizers,1.0909090909090908,18.83848484848485
B08Q42K5PK,IT,EU,Tritart,"Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Dyes. PRODUCT DESCRIPTION The colors in various shades are non toxic  stain resistant and delicate on the skin  There is no need to worry when putting dyes into your cosmetics  Thanks to the solubility in water and the possibility of mixing the colors with a little oil  you won t have to worry about annoying residues in the bathroom  Caution  Soap color is safe and skin friendly  but not edible  Personal ideas with a special touch  With DIY gifts you can easily show your love for details  Personalize your gift ideas with our color set  Pamper yourself or your loved ones with homemade bath bombs  create cosmetic products with this soap set or have fun with your children and use it as a slime kit  Regardless of your intentions  creativity will have no limits  Show off your artistic talent and try many new ideas  Our soap colors at a glance  non toxic and skin friendly  Versatile  In resealable containers  Quick and easy mix  Inedible product  Orange soap color  Yellow soap color  Green soap color  Purple soap color  Red soap color  Brown soap color  Soap color cherry red  Soap color blue  Pink soap color  Brick red soap color  Dark blue soap color  Red evening soap color  Coffee brown soap color  _  Fruity green soap color  Purple taro soap color  Orange red soap color  Dark green soap color  Grape purple soap color  Sunset yellow soap color  Dark green soap color  Pink soap color  Black soap color ","Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Dyes",1.2916666666666667,11.99
