ASIN,MARKETPLACE,BRAND_NAME,DESCRIPTION
B0847TJHB1,UK,Espring,  10031  10031 WINTEX Fabric Template Ruler   10031  10031  The fabric template by WINTEX was made measure and read precisely and easily various kinds of materials  like fabric and paper     10031  10031 Highlights  10031  10031  High quality materials  The craft ruler WINTEX is made from clear and sturdy acrylic  Easy to work with due to 2 colours  The ruler is separated into two colours  to ease the readings of measurements  Measurements in cm  The scale on the template ruler is in centimetre or readable  For left  and right handed people  The WINTEX design template rule is suitable to be used by right  and left handed people alike  Easy to clean  Thanks to the smooth surface  the ruler can be cleaned quickly and easily  Laser cut  The edges are laser cut  which makes them especially straight  to avoid any marks even on delicate fabrics 
B01M8GI87J,DE,Espring,  10031  10031 PRETEX SET OF 5 MICROFIBER CLOTHS   10031  10031 With the PRETEX microfiber cloths in a practical set of 5  you save time and energy when polishing  no matter whether car paint  furniture pieces or windows     10031  10031 HIGHLIGHTS   10031  10031   Selected materials  100  high quality polyester the secret of the excellent quality and polishing results of the PRETEX microfiber cloth  The edge made of 80  polyester and 20  polyamide gives the cloth additional stability and long durability    Perfect shine on many surfaces  whether on car paint  fittings  windows  pieces of furniture or worktops   The result of the PRETEX microfiber cloth is perfect shine    Versatile  polishes or sealants can be used as well as wax    Absorbent  The double sided and very dense microfiber layer can absorb three times the amount of liquid of a terry towel    Scope of delivery and dimensions  5 microfiber towels  40 x 40 cm br 
B078X5N2K1,NL,H&S,H S Foot Massager for Plantar Fasciitis and Arch Pain   Contoured Plantar Fasciitis for Relaxation   Foot Massager for Plantar Fasciitis for Stress Relief  RELAX THOSE FOOT TISSUES WITH A LITTLE MASSAGE   Our H S foot massage roller is designed to relieve pain and tension in your foot relieve  and provides pressure and comfort as soon as you put your feet down  The ergonomically shaped body presses into trigger points on your feet that hit the right spots for pain relief  The non slip bottom ensures that the massager does not move   A LUXURY AND PORTABLE ROAD TO RECOVERY   This plantar fasciitis roller not only provides a foot massage  but also works wonders for your ankles and calves  The studs create an acupressure effect on your deep tissues to relieve the pain of plantar fasciitis  It is extremely light and portable  you can take it to work and travel in a briefcase or carry on luggage   Why choose H S Massage Foot Roller  This foot massage roller is made of high quality PU and TPE material which is non toxic and skin friendly   The nubs mimic the acupressure effect of deep tissue massage to relieve the pain of plantar fasciitis   This ergonomically shaped roller is in full contact with the sole of the foot  It provides muscle and deep tissue massage for arch pain  heel spur relief and tired feet   Our mission   Here at H S we strive to improve and enrich people s lives through our meaningful and advanced products of uncompromising quality and integrity  Our innovations meet the needs of our customers and reflect our brand to the outside world  Here we leverage the best of our collective expertise to deliver world class solutions to our people at all times  
B07PQQRNBM,DE,Espring,  10031  10031 GOURMEO MUFFIN CUPS   10031  10031Colorful GOURMEO baking molds for muffins and cupcakes in orange     10031  10031 HIGHLIGHTS   10031  10031   Universal use  Suitable for use with the following devices  oven  up to 240 degrees   Fridge and freezer   Flexible  The flexible material adapts to the contents  The silicone is very stable  so that no additional muffin tray is required  even with liquid contents     Easy cleaning  Quick and easy cleaning by hand or in the dishwasher    High quality material  The material is made of 100    BPA free  environmentally friendly silicone    Size  The shapes have a diameter of 7 cm at the top and 5 cm at the bottom and are 3 5 cm high  If you ever have a problem with the muffin cases or another GOURMEO product  you can contact our friendly customer service at any time   We will find an individual solution for your concerns   
B00TY1HA18,UK,H&S,These swivel  amp  braked castors with 4 bolt plate fixing and rubber non marking wheels  Ideal for a huge variety of uses from DIY to industrial applications home  schools  shops  amp  hospitals etc    Features    Heavy duty steel plate   Double ball bearing swivel head   Wheel Type   black polyurethane  roller bearing   Pack comes with 2x swivel with brake  2x swivel   Load Rating  600kg  150kg each    Ideal for a huge variety of uses from DIY to industrial applications  home  schools  shops  amp  hospitals    Measurements    Overall Height  130mm   Wheel Size  100mm   Tyre Width  32mm   Fixing Plate Size  93 X 64mm   Bolting Centres   75 x 45mm   Package Contents    2x swivel with brake   2x swivel 
B07V3FZDD1,IT,Espring,WINTEX Keyrings with Tags   100 Key Rings in Resistant Plastic   Colored Key Labels   for Travel Organization of Pets   Light Blue EFFICIENT ORGANIZATION OF KEYS WINTEX colored keyrings have a bright color  they are clearly visible and bring order to your keys  They are available in bright colors which make them easily identifiable among everyday objects  Furthermore  they are durable and do not break easily  Can the labels be written with various types of pens and markers without difficulty  Main features    Easy to label  the key rings offer a dedicated space for writing effectively    Practical key ring  with the key ring the key is secured to the tag    Waterproof  the key rings can also be used outdoors  ideal for garages  gardens and terraces  OUR MISSION  We at Wintex aim to improve and enrich people s lives through innovative  quality products  and integrity  without compromises  Our innovations respond to customer needs and reflect our brand to the outside world  We use the best of our skills to always offer our customers high level solutions 
B017QDERBQ,UK,H&S,Our high quality cardboard jewellery gift boxes come in a number of colours and  shapes  These superior gift boxes are perfect for the presentation of pendant    earrings  and rings or jewellery sets  They are shiny textured paper covered with  ribbon and rosebud detail       Features      Two piece strong cardboard box covered in shiny textured paper    Silver bow  amp  ribbon    Give a more luxurious  amp  quality feel    Size 12 16 3cm box for a set of jewellery  a necklace  a ring and a pair of earrings     Size 8 5 8 5 2cm box for bangle and bracelet    Size 8 5 2 5cm box can contain 2 rings or a necklace or a pair of earrings    Size 5 5 5 5 2cm box for necklace  earrings or brooch    Size 4 5 4 5 3cm box for ring or earring studs    Available colour  black  blue  sky blue  pink  purple  lilac  red  silver  gold    Jewellery not included  display purpose only      Measurements      12 x 16 x 3cm    8 5 x 8 5 x 2cm    8 x 5 x 2 5 cm    5 5 x 5 5 x 2cm    4 5 x 4 5 x 3cm      Package Contents      12x Jewellery Gift Boxes  
B073ZN6SH9,US,Tritart,SUPERIOR PERFORMANCE  This smooth and fine tracing paper for pattern making provides you with very solid transparency  It is ideal for mastering tracing techniques  The pencil lines lay down smoothly on the page and are easily erased  You can reuse these tracing papers multiple times because it supports all artistic abilities  moreover it ensures the longevity of your work  FOR YOUR EVERYDAY PROJECTS  The robustness and flexibility offered by this tracing paper for sewing is another thing to watch  The see through quality of this tracing paper helps the beginner to draw on it even with no skills  In contrast to other tracing papers  the Tritart tracing paper is quite thicker  It will help you in performing detailed artwork efficiently  SUITABLE FOR EVERYONE  This roll of pattern paper for sewing is suitable for both kids and adults  It is perfect for all occasions like Decor  Packaging  covering tables for parties  holiday gift wrapping  coloring  protection of furniture and floors  drawing  writing  painting  package filler  and a lot more  The tracing paper for sewing patterns can be used for almost everything from creating to copying  you are all good to go with these in your art supplies 
B00C13AZEK,NL,H&S,H S Heavy Duty Chain for Bicycle with Padlock   Alloy Steel Motorcycle Lock with Keys and Chain for House Gate   Powerful Bicycle Lock for Mountain Bikes and Bicycles  SECURE THE WHEELS AND TWICE THE FUN   We know it s not easy to get a    to own a bicycle  because it also entails many sacrifices  such as taking care of it and protecting it from outside theft at all times  With H S bicycle lock with key and padlock you can give your valuable bicycle or motorcycle all the security measures to protect it when it is alone outside at night   HIGH QUALITY CHAIN   THAT TAKES CARE OF YOUR BICYCLE   Are you afraid that your bicycle will be stolen and are you looking for a bicycle chain with a padlock that combines security and functionality  H S heavy duty bicycle chain keeps our precious investments safe  The holding power and a unique chain design eliminate threats and vulnerabilities when the bike is left unattended   Why choose H S Heavy Duty Bicycle Chain Lock   Padlock  The chain links are made from triple heat treated boron manganese for ultimate strength   Durable nylon protective cover prevents scratches on your valuable equipment  It comes with a sturdy padlock and keys for extra security  The narrow inner width of individual links protects against lever attacks   Our mission   Here at H S we strive to improve and enrich people s lives through our meaningful and advanced products of uncompromising quality and integrity  Our innovations meet the needs of our customers and reflect our brand to the outside world  Here we leverage the best of our collective expertise to deliver world class solutions to our people at all times  
B07JHNHW2K,IT,H&S,H S Document Binder Clips for Sheets of Paper   Set of 10   Stationery Set Black Clips for Paper and Photographs   Document and Photo Binder   Document Organizer and Stationery IT S TIME TO KEEP YOUR DOCUMENTS IN ONE PLACE  Are you dealing with a pile of documents that need to be sorted and kept together in one place  With our pack of 10 binder clips you will no longer have to waste time with scattered documents  These steel binder clips are strong enough for multiple uses  Why choose H S Foldback Clips      Foldback clips are made of steel for strength and performance    They have perfect elasticity for binding documents  cards  etc    They can easily hold up to 140 sheets  80gsm     They are suitable for use in the office  workplace  school or even at home  Our mission   At H S  we aim to improve and enrich people s lives through meaningful  advanced products of uncompromising quality and integrity  Our innovations respond to the needs of our customers and reflect our brand to the outside world 
