ASIN,MARKETPLACE,BRAND_NAME,regression_vals
B00BBL0OPS,DE,H&S,"[-2.799027552674231, 32.70312803889789]"
B00BBL0OPS,ES,H&S,"[-0.7189655172413787, 24.948620689655176]"
B00BBL0OPS,FR,H&S,"[-0.35111626558422776, 30.761817918237167]"
B00BBL0OPS,IT,H&S,"[0.17647058823529418, 34.81352941176471]"
B00BBL0OPS,UK,H&S,"[-0.0653609436812364, 20.873825963931505]"
B00BVG3JMS,DE,H&S,"[-6.751163427282379e-31, 25.989999999999988]"
B00BVG3JMS,ES,H&S,"[-1.4095919429760135e-31, 28.990000000000002]"
B00BVG3JMS,FR,H&S,"[-0.08050244553134725, 27.98115162294353]"
B00BVG3JMS,IT,H&S,"[-8.301229359992801e-31, 29.98999999999999]"
B00BVG3JMS,UK,H&S,"[-0.004047149211304138, 23.212338123231692]"
B00BVG3JMS,US,H&S,"[-0.18941608080559366, 26.356626805132514]"
B00BVTF9GE,US,H&S,"[-0.5738167319047618, 12.509229823333333]"
B00BVUIVYU,DE,H&S,"[-0.01857906953274799, 8.440252295892623]"
B00BVUIVYU,ES,H&S,"[-0.09348511383537657, 13.275429071803853]"
B00BVUIVYU,FR,H&S,"[-0.03738685556867379, 12.859762560671653]"
B00BVUIVYU,IT,H&S,"[0.13846997532218255, 14.958741431313406]"
B00BVUIVYU,UK,H&S,"[-0.02798359405072209, 8.506305010618231]"
B00BVUIVYU,US,H&S,"[-0.1330955022416452, 7.493619959898886]"
B00C01Z4BC,DE,H&S,"[-0.019759450171821322, 4.275223367697595]"
B00C01Z4BC,ES,H&S,"[-2.856492255229928e-32, 5.490000000000001]"
B00C01Z4BC,FR,H&S,"[-2.625338205864116e-31, 6.490000000000002]"
B00C01Z4BC,IT,H&S,"[0.0, 5.990000000000001]"
B00C01Z4BC,PL,H&S,"[-0.19026954906849325, 3.3966798566301377]"
B00C01Z4BC,UK,H&S,"[0.016924417563264273, 3.7452775097911015]"
B00C01Z4BC,US,H&S,"[-0.007033481687231203, 4.194110153746494]"
B00C13AZEA,DE,H&S,"[0.1325136952191236, 24.210268924302788]"
B00C13AZEA,ES,H&S,"[0.0413223140495868, 22.622883862548935]"
B00C13AZEA,FR,H&S,"[0.015873015873015872, 26.669365079365082]"
B00C13AZEA,IT,H&S,"[0.053925429959301566, 26.35904293028752]"
B00C13AZEA,UK,H&S,"[0.012755030313033506, 25.00344239485837]"
B00C13AZEA,US,H&S,"[-0.11466067955395673, 26.61782409322302]"
B00C13AZEK,DE,H&S,"[-0.0, 12.790000000000001]"
B00C13AZEK,ES,H&S,"[0.015974995658968566, 14.842925855183193]"
B00C13AZEK,FR,H&S,"[0.0, 16.990000000000002]"
