
ASIN,MARKETPLACE,REGION,BRAND_NAME,MAIN_CATEGORY,SUB_CATEGORY
B094QQ3N88,PL,EU,Espring,,
B071LM6NRM,PL,EU,Espring,Beauty & Personal Care,Shave & Hair Removal
B06X6G3FP1,ES,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07NVDQCKB,ES,EU,Espring,Sports & Outdoors,Outdoor Recreation
B07YSCWK2F,TR,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B072LXQPCH,PL,EU,H&S,Beauty & Personal Care,Hair Care
B015FX4ZZ2,UK,UK,Espring,Home & Kitchen,Home Décor
B07G2WLF6N,NON-AMAZON,EU,H&S,Tools & Home Improvement,Hardware
B01MRVUOAB,NL,EU,H&S,Office Products,Office Electronics
B079T5TPGJ,DE,EU,Tritart,,
B08Q43R7MK,BE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01AXTI5EU,UK,UK,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B085W8RMGX,FR,EU,Espring,Beauty & Personal Care,Shave & Hair Removal
B01J3TE9XM,FR,EU,Espring,,
B00TY1HA18,PL,EU,H&S,Tools & Home Improvement,Hardware
B016JQDRNU,NL,EU,H&S,Home & Kitchen,Kitchen & Dining
B017GLNHEG,IT,EU,H&S,Tools & Home Improvement,Hardware
B07T234J87,UK,UK,Espring,Baby Products,Baby Care
B074SXX9J9,FR,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B098XCZZ3Q,ES,EU,Espring,Home & Kitchen,Kitchen & Dining
B016C6FX9S,PL,EU,Espring,Home & Kitchen,Kitchen & Dining
B08ZD2MDVL,DE,EU,Espring,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B0007QJ7ZG,DE,EU,Espring,,
B00DS67OY8,DE,EU,Espring,,
B01D04KTFI,DE,EU,Espring,Beauty & Personal Care,"Foot, Hand & Nail Care"
B07WHJ3D89,SE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B000KNHFJQ,DE,EU,Espring,,
B00GQ1297E,UK,UK,H&S,,
B08QYWF85N,PL,EU,Espring,,
B016AHAPJC,TR,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B073FP7B9N,NL,EU,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B06X9VNN2P,BE,EU,Espring,Sports & Outdoors,Outdoor Recreation
B01K4R2FWY,NL,EU,Espring,Pet Supplies,Dogs
B072BCW5X6,FR,EU,Espring,Baby Products,Feeding
B07GTF236R,US,US,H&S,Sports & Outdoors,Exercise & Fitness
B017PTVHG4,UK,UK,H&S,,
B07PRQTQ8H,TR,EU,Espring,Home & Kitchen,Kitchen & Dining
B01MY6R11P,NON-AMAZON,EU,H&S,Beauty & Personal Care,"Foot, Hand & Nail Care"
B00NBCCR0A,PL,EU,H&S,Books,Calendars
B07CVHHMYQ,NON-AMAZON,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B0857JT2ZP,DE,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B016C6FX9S,IT,EU,Espring,Home & Kitchen,Kitchen & Dining
B01N7RK458,PL,EU,Espring,Beauty & Personal Care,"Foot, Hand & Nail Care"
B01K4GJEBA,UK,UK,Espring,,
B07GBK5SQL,CA,CA,H&S,Home & Kitchen,Storage & Organization
B016KSQ5F4,PL,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B00BVG3JMS,SE,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B01MY6R11P,PL,EU,H&S,Beauty & Personal Care,"Foot, Hand & Nail Care"
B073WBT4V7,DE,EU,Tritart,Beauty & Personal Care,Makeup
B01AAJWSH8,IT,EU,Espring,"Clothing, Shoes & Jewelry",Sport Specific Clothing
B0847TF6T1,SE,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01HFJEZ68,NON-AMAZON,EU,Espring,Home & Kitchen,Kitchen & Dining
B072HKHJJS,NL,EU,Tritart,Home & Kitchen,Seasonal Décor
B092PW7WF9,SE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01NATTRD3,ES,EU,H&S,Tools & Home Improvement,Kitchen & Bath Fixtures
B01HS5ASGK,SE,EU,H&S,Home & Kitchen,Kitchen & Dining
B01MSQQLCE,BE,EU,Espring,Office Products,Office & School Supplies
B017PTVFA2,UK,UK,H&S,,
B088MFTGV5,IT,EU,Espring,Home & Kitchen,Kitchen & Dining
B09LV9YJM9,BE,EU,Espring,,
B08ZCFXZ4H,IT,EU,Espring,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B092D5D8T3,IT,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07X1YPMR2,NON-AMAZON,EU,Espring,"Clothing, Shoes & Jewelry",Men
B07V6LGWMZ,TR,EU,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B0BQC3V71Q,DE,EU,Espring,,
B08X1SQWL4,ES,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01HXX8RVA,TR,EU,Espring,Office Products,Office & School Supplies
B092ZMDLMX,NL,EU,Espring,,
B072BCW5X6,NL,EU,Espring,Baby Products,Feeding
B07BMZGV4Z,NON-AMAZON,EU,H&S,Home & Kitchen,Kitchen & Dining
B07XYY42F4,NL,EU,Tritart,Beauty & Personal Care,Makeup
B07PPM6WDZ,UK,UK,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01HBA2IM4,NON-AMAZON,EU,Espring,"Clothing, Shoes & Jewelry",Men
B088MGYR8K,NON-AMAZON,EU,Espring,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B00NBCCR0A,IT,EU,H&S,Books,Calendars
B01AAJOVH8,SE,EU,Espring,Baby Products,Nursery
sponsored_brands,IT,EU,Espring,,
B01N3SL15M,UK,UK,Espring,"Clothing, Shoes & Jewelry",Men
B07DZHXPL6,NL,EU,H&S,Electronics,Cell Phones & Accessories
B07LB1FXB4,PL,EU,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B08Q42K5PK,IT,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07G57DPXZ,FR,EU,H&S,Tools & Home Improvement,Hardware
B06Y32377G,NL,EU,Espring,Beauty & Personal Care,Tools & Accessories
B07TTMNMLP,FR,EU,Espring,Sports & Outdoors,Exercise & Fitness
B08J45NYBM,SE,EU,Espring,"Clothing, Shoes & Jewelry",Women
B00C13AZEK,BE,EU,H&S,Sports & Outdoors,Outdoor Recreation
B01JRVJOH2,IT,EU,Espring,Home & Kitchen,Bedding
B08YK68R6M,SE,EU,Espring,Office Products,Office & School Supplies
B071G65DDK,SE,EU,Espring,Baby Products,Gifts
B00TY0BZ56,TR,EU,H&S,Sports & Outdoors,Outdoor Recreation
B086T37ZV1,IT,EU,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B01HEXXYSK,FR,EU,Espring,,
B07GZ818S1,UK,UK,H&S,Industrial & Scientific,Food Service Equipment & Supplies
B09LVBHZKQ,IT,EU,Espring,,
B01IF2VW7O,IT,EU,Espring,Beauty & Personal Care,Makeup
B092D5D8T3,NL,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07WHHH7CY,SE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07TN75FC1,DE,EU,H&S,"Clothing, Shoes & Jewelry",Novelty & More
B0727Q3H5D,SE,EU,Espring,Home & Kitchen,Kitchen & Dining
B016BMZBGI,UK,UK,H&S,,
B09Q39MJQT,FR,EU,Espring,,
B07JHNHW2K,UK,UK,H&S,Office Products,Office & School Supplies
B01M34F950,UK,UK,Espring,Industrial & Scientific,Occupational Health & Safety Products
B07KV8NYBN,NL,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B08BLS8RZ7,NL,EU,Espring,Beauty & Personal Care,Skin Care
B08LL4V6MD,SE,EU,Espring,Home & Kitchen,Bath
B07CHDHCMR,NL,EU,H&S,Industrial & Scientific,Abrasive & Finishing Products
