
ASIN,REGION,MARKETPLACE_NAME,COUNTRY,BRAND,MIN_CATEGORY_LEAF_NAME
B01HZDQ5Q2,North America,amazon.us,United States,Espring,Muffin & Cupcake Pans
B0BS72PJ65,North America,amazon.us,United States,Espring,Bungee Cords
B018I2NCBA,North America,amazon.us,United States,Espring,Brushes
B07SYKTLG9,North America,amazon.us,United States,Espring,Miniatures
B07X55ZZKR,North America,amazon.us,United States,Espring,
B07NVDQCKB,North America,amazon.us,United States,Espring,Cable Locks
B07TMN2NY5,North America,amazon.us,United States,Espring,Bed Mats
B08J45NYBM,North America,amazon.us,United States,Espring,Waist Packs
B088RGRS86,North America,amazon.us,United States,Espring,Bungee Cords
B09YLX9Z5G,North America,amazon.us,United States,Espring,Manual Pasta Makers
B09S6GPKT8,North America,amazon.us,United States,Espring,Loaf Pans
B08DJ4WZWQ,North America,amazon.us,United States,Espring,Bungee Cords
B0BBS4J8CF,North America,amazon.us,United States,Espring,Weight Belts
B08B8GDLSH,North America,amazon.us,United States,Espring,Hair Removal Mitts & Rollers
B098XFGXM4,North America,amazon.us,United States,Espring,French Bread & Baguette Pans
B0875PQLS9,North America,amazon.us,United States,Espring,Manual Pasta Makers
B07X1YQYV4,North America,amazon.us,United States,Espring,
B07T7N8DP7,North America,amazon.us,United States,Espring,Bungee Cords
B0876861N4,North America,amazon.us,United States,Espring,Parchment
B09HQWG145,North America,amazon.us,United States,Espring,Bungee Cords
B07SNF9BKP,North America,amazon.us,United States,Espring,Bed Mats
B088RHXFJ4,North America,amazon.us,United States,Espring,Bungee Cords
B0B619CJ7R,North America,amazon.us,United States,Espring,Parchment
B09YRS2C3P,Europe,amazon.uk,United Kingdom,Espring,Cookie Presses
B01M5AXC3O,Europe,amazon.uk,United Kingdom,Espring,"Ties, Cummerbunds & Pocket Squares"
B09C8JHT9L,Europe,amazon.uk,United Kingdom,Espring,Tarps & Tie-Downs
B01LWJRCVJ,Europe,amazon.uk,United Kingdom,Espring,Bungee Cords
B09M76QR53,Europe,amazon.uk,United Kingdom,Espring,Exercise and Nutrition
B085W7Y6HC,Europe,amazon.uk,United Kingdom,Espring,Kits
B08J3T116Q,Europe,amazon.uk,United Kingdom,Espring,Muffin & Cupcake Tins & Moulds
B08JCVX1WY,Europe,amazon.uk,United Kingdom,Espring,Parchments
B01LXDUAVI,Europe,amazon.uk,United Kingdom,Espring,Postal Scales
B08Y5L4HV5,Europe,amazon.uk,United Kingdom,Espring,Safety Earmuffs
B098XFYB62,Europe,amazon.uk,United Kingdom,Espring,Baking Tools & Accessories
B08DJ91XZY,Europe,amazon.uk,United Kingdom,Espring,Muffin & Cupcake Tins & Moulds
B0BQ3X21WM,Europe,amazon.uk,United Kingdom,Espring,Boot Mats
B01KZML92U,Europe,amazon.uk,United Kingdom,Espring,Secateurs & Pruning Scissors
B01LMKPSGM,North America,amazon.ca,Canada,H&S,Knitting Needles
B07SNF9BKP,Europe,amazon.uk,United Kingdom,Espring,Bed Blankets
B01LW463CQ,Europe,amazon.uk,United Kingdom,Espring,Shoe Bags
B01H2BUVXU,Europe,amazon.uk,United Kingdom,Espring,Salon furnishings
B07X42WWFN,Europe,amazon.uk,United Kingdom,Espring,Neckties
B088MF482R,Europe,amazon.uk,United Kingdom,Espring,Shoe Laces
B0B9SWPMSN,Europe,amazon.uk,United Kingdom,Espring,Barware Sets
B09V5BHXNK,Europe,amazon.uk,United Kingdom,Espring,Training Leads
B09LVF3CVY,Europe,amazon.uk,United Kingdom,Espring,Luggage Tags
B07V6LNFZQ,Europe,amazon.uk,United Kingdom,Espring,Luggage Tags
B01I1HQNFE,Europe,amazon.uk,United Kingdom,Espring,Folding Umbrellas
B0B82NXH93,Europe,amazon.uk,United Kingdom,Espring,Rulers
B016KSQ5F4,North America,amazon.ca,Canada,H&S,Paintings
B08J49HGK4,Europe,amazon.uk,United Kingdom,Espring,Food Service Equipment & Supplies
B014TDD6OU,Europe,amazon.uk,United Kingdom,Espring,
B07FT9R697,Europe,amazon.uk,United Kingdom,Espring,Wearable Blankets
B09LV9YJM9,Europe,amazon.uk,United Kingdom,Espring,Luggage Tags
B07GZ9GH8T,North America,amazon.ca,Canada,H&S,Cocktail Picks
B01NATTRD3,North America,amazon.ca,Canada,H&S,Handheld Showerheads
B06XY55WTJ,North America,amazon.ca,Canada,H&S,Shoe Trees
B092YXWL35,Europe,amazon.be,Belgium,Tritart,
B08VJ3VQ51,Europe,amazon.be,Belgium,Tritart,
B08X1Q96MN,Europe,amazon.be,Belgium,Tritart,Présentoir et emballage
B07WFHLD7G,Europe,amazon.be,Belgium,Tritart,
B073WNN94R,Europe,amazon.be,Belgium,Tritart,
B083DHG56N,Europe,amazon.be,Belgium,Tritart,
B0BMB57STM,Europe,amazon.de,Germany,Tritart,Transparentpapier
B09P1VNXMX,Europe,amazon.de,Germany,Tritart,
B08DD1R735,Europe,amazon.de,Germany,Tritart,Schminke
B08Q3F1Z1N,Europe,amazon.de,Germany,Tritart,Aquarellpapier
B07TGFSLCB,Europe,amazon.de,Germany,Tritart,Aquarellpapier
B092D82RGQ,Europe,amazon.es,Spain,Tritart,Papel cebolla
B0CH1BKBQV,Europe,amazon.es,Spain,Tritart,
B09P1VNXMX,Europe,amazon.es,Spain,Tritart,
B09MG69WF3,Europe,amazon.de,Germany,Tritart,Tonpapier
B01N5EAVIA,Europe,amazon.de,Germany,Tritart,Pinsel-Sets
B07CNDR86T,Europe,amazon.uk,United Kingdom,H&S,Beauty Challenge
B074VWN2SN,Europe,amazon.uk,United Kingdom,H&S,Cable Straps
B00FE5T1UG,Europe,amazon.uk,United Kingdom,H&S,Furniture Hardware
B00C13AZHW,Europe,amazon.uk,United Kingdom,H&S,Chain Locks
B016KSQ5F4,Europe,amazon.uk,United Kingdom,H&S,Boxes & Organisers
B00QW8O6EU,Europe,amazon.uk,United Kingdom,H&S,Cosmetic Bags
B08N8KJDDJ,Europe,amazon.uk,United Kingdom,H&S,Canvas Panels
B00DFP6JHU,Europe,amazon.uk,United Kingdom,H&S,
B071WJFD25,Europe,amazon.uk,United Kingdom,H&S,Presentation Books
B00TY0BZ56,Europe,amazon.uk,United Kingdom,H&S,Camp Kitchen
B06Y5V63YZ,Europe,amazon.uk,United Kingdom,Espring,Claw Care
B0872W1YTK,Europe,amazon.uk,United Kingdom,Espring,Bed Blankets
B0832FL327,Europe,amazon.uk,United Kingdom,Espring,Bungee Cords
B01JP01YFU,Europe,amazon.uk,United Kingdom,Espring,Beauty Challenge T&Cs
B08L8HPQBX,Europe,amazon.uk,United Kingdom,Espring,Crochet Hooks
B07LB1FXB4,Europe,amazon.uk,United Kingdom,Espring,Barware Sets
